,,,,,,,,,,,,,,,,
city id,city name,0,1,2,3,,,,,,,,,,,
73,City of Sierra Madre ,0.294714286,0.306321429,0.317928571,0.329535714,,,,,,,,,,,
74,City of Signal Hill ,0.368,0.373714286,0.379428571,0.385142857,,,,,,,,,,,
75,City of South El Monte ,0.904714286,0.951821429,0.998928571,1,,,,,,,,,,,
76,City of South Gate ,0.833857143,0.86325,0.892642857,0.922035714,,,,,,,,,,,
77,City of South Pasadena ,0.204142857,0.203285714,0.202428571,0.201571429,,,,,,,,,,,
78,City of Temple City ,0.358285714,0.379964286,0.401642857,0.423321429,,,,,,,,,,,
79,City of Torrance ,0.213,0.221214286,0.229428571,0.237642857,,,,,,,,,,,
80,City of Vernon ,1,1,1,1,,,,,,,,,,,
81,City of Walnut ,0.379571429,0.400178571,0.420785714,0.441392857,,,,,,,,,,,
82,City of West Covina ,0.593,0.619392857,0.645785714,0.672178571,,,,,,,,,,,
83,City of West Hollywood ,0.391571429,0.384928571,0.378285714,0.371642857,,,,,,,,,,,
84,City of Westlake Village ,0.121714286,0.128142857,0.134571429,0.141,,,,,,,,,,,
85,City of Whittier ,0.800285714,0.837071429,0.873857143,0.910642857,,,,,,,,,,,
87,Los Angeles - Adams-Normandie ,0.580142857,0.602321429,0.6245,0.646678571,,,,,,,,,,,
88,Los Angeles - Alsace ,0.524857143,0.522,0.519142857,0.516285714,,,,,,,,,,,
89,Los Angeles - Angeles National Forest ,0,0,0,0,,,,,,,,,,,
90,Los Angeles - Angelino Heights ,0.262857143,0.28,0.297142857,0.314285714,,,,,,,,,,,
91,Los Angeles - Arleta ,1,1,1,1,,,,,,,,,,,
92,Los Angeles - Atwater Village ,0.478571429,0.482785714,0.487,0.491214286,,,,,,,,,,,
93,Los Angeles - Baldwin Hills ,0.313142857,0.320142857,0.327142857,0.334142857,,,,,,,,,,,
94,Los Angeles - Bel Air ,0.197,0.2115,0.226,0.2405,,,,,,,,,,,
95,Los Angeles - Beverly Crest ,0.277714286,0.293714286,0.309714286,0.325714286,,,,,,,,,,,
96,Los Angeles - Beverlywood ,0.264571429,0.278964286,0.293357143,0.30775,,,,,,,,,,,
97,Los Angeles - Boyle Heights* ,0.849857143,0.873,0.896142857,0.919285714,,,,,,,,,,,
98,Los Angeles - Brentwood ,0.303571429,0.307428571,0.311285714,0.315142857,,,,,,,,,,,
