city id,city name,lat,lng
127,Los Angeles - Glassell Park ,34.1161201,-118.2289627
128,Los Angeles - Gramercy Place ,33.8677941,-118.3135464
129,Los Angeles - Granada Hills ,34.2661558,-118.5174342
130,Los Angeles - Green Meadows ,33.9409877,-118.2629968
131,Los Angeles - Hancock Park ,34.0677881,-118.3325765
132,Los Angeles - Harbor City ,33.7911012,-118.3012604
133,Los Angeles - Harbor Gateway ,33.8542249,-118.2992198
134,Los Angeles - Harbor Pines ,33.7825681,-118.3069302
135,Los Angeles - Harvard Heights ,34.0471105,-118.3054828
136,Los Angeles - Harvard Park ,33.9839471,-118.3046228
137,Los Angeles - Highland Park ,34.1099469,-118.1969828
138,Los Angeles - Historic Filipinotown ,34.88298,-114.7569
139,Los Angeles - Hollywood ,34.0980031,-118.3295232
140,Los Angeles - Hollywood Hills ,34.1311792,-118.3355474
141,Los Angeles - Hyde Park ,33.9805691,-118.3306308
142,Los Angeles - Jefferson Park ,34.0272344,-118.3175756
143,Los Angeles - Koreatown ,34.0580134,-118.3008095
144,Los Angeles - Lafayette Square ,34.046406,-118.33379
145,Los Angeles - Lake Balboa ,34.1811656,-118.495236
146,Los Angeles - Lakeview Terrace ,34.1396617,-117.8986251
147,Los Angeles - Leimert Park ,34.007702,-118.3320627
148,Los Angeles - Lincoln Heights ,34.0812482,-118.2034419
149,Los Angeles - Little Armenia ,34.0981716,-118.3044966
150,Los Angeles - Little Bangladesh ,34.056179,-118.271908
151,Los Angeles - Little Tokyo ,34.0482168,-118.2411814
152,Los Angeles - Longwood ,33.973537,-118.4263953
153,Los Angeles - Los Feliz ,34.1100408,-118.2889236
154,Los Angeles - Manchester Square ,33.966374,-118.3133775
155,Los Angeles - Mandeville Canyon ,34.0610395,-118.4949801
156,Los Angeles - Mar Vista ,34.0037605,-118.4391641
157,Los Angeles - Marina Peninsula ,33.7487127,-118.1227115
159,Los Angeles - Mid-city ,34.0415271,-118.3603703
160,Los Angeles - Miracle Mile ,34.008544,-118.133415
161,Los Angeles - Mission Hills ,34.2572249,-118.4670285
163,Los Angeles - North Hills ,34.2429575,-118.4854081
164,Los Angeles - North Hollywood ,34.1729044,-118.3740371
165,Los Angeles - Northridge ,34.2345615,-118.5369316
166,Los Angeles - Pacific Palisades ,34.0480643,-118.5264706
167,Los Angeles - Pacoima ,34.2625025,-118.427027
168,Los Angeles - Palisades Highlands ,34.040067,-118.345948
169,Los Angeles - Palms ,34.0247328,-118.4116152
170,Los Angeles - Panorama City ,34.2242902,-118.4453745
171,Los Angeles - Park La Brea ,34.0674016,-118.3552363
172,Los Angeles - Pico-Union ,34.0465669,-118.2878942
173,Los Angeles - Playa Del Rey ,33.9550828,-118.4367496
174,Los Angeles - Playa Vista ,33.9760102,-118.4181654
175,Los Angeles - Porter Ranch ,34.2818164,-118.5612714
176,Los Angeles - Rancho Park ,34.0344461,-118.4252632
177,Los Angeles - Regent Square ,34.0615961,-118.4465521
178,Los Angeles - Reseda ,34.2000784,-118.5369884
179,Los Angeles - Reseda Ranch ,34.2765145,-118.5363704
180,Los Angeles - Reynier Village ,34.0355228,-118.3864708
181,Los Angeles - San Pedro* ,33.7358518,-118.2922934
182,Los Angeles - Shadow Hills ,34.2619469,-118.3517463
183,Los Angeles - Sherman Oaks ,34.1508718,-118.4489865
184,Los Angeles - Silverlake ,34.092941,-118.2697155
185,Los Angeles - South Carthay ,34.0561214,-118.3734109
186,Los Angeles - South Park ,33.9959381,-118.2697608
187,Los Angeles - St Elmo Village ,34.006541,-118.157565
188,Los Angeles - Studio City ,34.1483989,-118.3961877
189,Los Angeles - Sun Valley ,34.2175042,-118.3703576
190,Los Angeles - Sunland ,34.2669466,-118.3023
191,Los Angeles - Sycamore Square ,34.329077,-118.4660031
192,Los Angeles - Sylmar* ,34.3076252,-118.4492148
193,Los Angeles - Tarzana ,34.1714436,-118.5429789
194,Los Angeles - Temple-Beaudry ,34.0628846,-118.2512529
195,Los Angeles - Thai Town ,34.1018533,-118.3048616
196,Los Angeles - Toluca Lake ,34.1521688,-118.3571417
198,Los Angeles - Toluca Woods ,34.060921,-118.258622
199,Los Angeles - Tujunga ,34.252225,-118.2884105
200,Los Angeles - University Hills ,34.0680353,-118.1733524
201,Los Angeles - University Park ,34.027449,-118.2839493
202,Los Angeles - Valley Glen ,34.1826379,-118.4138666
203,Los Angeles - Valley Village ,34.1637147,-118.3965758
204,Los Angeles - Van Nuys* ,34.1866193,-118.4486669
205,Los Angeles - Venice ,33.995044,-118.4668875
206,Los Angeles - Vermont Knolls ,33.9668188,-118.29167
207,Los Angeles - Vermont Square ,34.0019449,-118.3002125
208,Los Angeles - Vermont Vista ,33.9419475,-118.2858138
210,Los Angeles - Victoria Park ,34.0466887,-118.3307729
211,Los Angeles - View Heights ,34.033882,-118.347713
212,Los Angeles - Watts ,33.9405674,-118.2428485
213,Los Angeles - Wellington Square ,34.043033,-118.331976
214,Los Angeles - West Adams ,34.0294356,-118.3524833
215,Los Angeles - West Hills ,34.2032325,-118.645476
216,Los Angeles - West Los Angeles ,34.0463986,-118.448135
218,Los Angeles - Westchester ,33.9597349,-118.4006322
219,Los Angeles - Westlake ,34.0629226,-118.2728204
220,Los Angeles - Westwood ,34.0561207,-118.4306347
221,Los Angeles - Wholesale District* ,34.0365749,-118.2354342
222,Los Angeles - Wilmington ,33.7800164,-118.2625095
223,Los Angeles - Wilshire Center ,34.0615146,-118.4327712
224,Los Angeles - Winnetka ,34.2058826,-118.570934
225,Los Angeles - Woodland Hills ,34.1684364,-118.6058382
226,Unincorporated - Acton ,34.4807415,-118.1868379
228,Unincorporated - Altadena ,34.1863161,-118.1352329
236,Unincorporated - Bassett ,34.0497323,-117.9967323
239,Unincorporated - Canyon Country ,34.4233293,-118.4720281
240,Unincorporated - Castaic* ,34.4888822,-118.6228656
254,Unincorporated - East Los Angeles ,34.0239015,-118.1720157
264,Unincorporated - Hacienda Heights ,33.9930677,-117.9686755
275,Unincorporated - Lake Los Angeles ,34.6127395,-117.8403955
304,Unincorporated - Rowland Heights ,33.9761238,-117.9053395
311,Unincorporated - Santa Monica Mountains* ,34.031132,-118.261507
317,Unincorporated - South Whittier ,33.9435081,-118.0347827
319,Unincorporated - Stevenson Ranch ,34.3864721,-118.5826635
325,Unincorporated - Valinda ,34.0384785,-117.933559
334,Unincorporated - West Whittier/Los Nietos ,34.036211,-118.219955
340,Unincorporated - Willowbrook ,33.9187863,-118.2343933
