city id,city name,0,1,2,3
95,Los Angeles - Beverly Crest ,0.167,0.168142857,0.169285714,0.170428571
96,Los Angeles - Beverlywood ,0.113,0.116535714,0.120071429,0.123607143
97,Los Angeles - Boyle Heights* ,0.559714286,0.583392857,0.607071429,0.63075
98,Los Angeles - Brentwood ,0.234142857,0.2465,0.258857143,0.271214286
100,Los Angeles - Cadillac-Corning ,0.267,0.274,0.281,0.288
101,Los Angeles - Canoga Park ,0.298428571,0.29975,0.301071429,0.302392857
102,Los Angeles - Carthay ,0.198,0.20525,0.2125,0.21975
103,Los Angeles - Central ,0.390142857,0.406535714,0.422928571,0.439321429
104,Los Angeles - Century City ,0.212285714,0.220714286,0.229142857,0.237571429
105,Los Angeles - Century Palms/Cove ,0.325714286,0.350821429,0.375928571,0.401035714
106,Los Angeles - Chatsworth ,0.235285714,0.246178571,0.257071429,0.267964286
107,Los Angeles - Cheviot Hills ,0.098714286,0.097642857,0.096571429,0.0955
108,Los Angeles - Chinatown ,0.235142857,0.244035714,0.252928571,0.261821429
109,Los Angeles - Cloverdale/Cochran ,0.234142857,0.248428571,0.262714286,0.277
110,Los Angeles - Country Club Park ,0.159428571,0.16725,0.175071429,0.182892857
111,Los Angeles - Crenshaw District ,0.267714286,0.284,0.300285714,0.316571429
112,Los Angeles - Crestview ,0.196714286,0.207535714,0.218357143,0.229178571
113,Los Angeles - Del Rey ,0.229142857,0.242071429,0.255,0.267928571
114,Los Angeles - Downtown* ,0.414714286,0.442464286,0.470214286,0.497964286
115,Los Angeles - Eagle Rock ,0.251,0.256857143,0.262714286,0.268571429
116,Los Angeles - East Hollywood ,0.275714286,0.287321429,0.298928571,0.310535714
117,Los Angeles - Echo Park ,0.363,0.3735,0.384,0.3945
118,Los Angeles - El Sereno ,0.361285714,0.380464286,0.399642857,0.418821429
119,Los Angeles - Elysian Park ,0.266714286,0.289678571,0.312642857,0.335607143
120,Los Angeles - Elysian Valley ,0.296428571,0.301,0.305571429,0.310142857
121,Los Angeles - Encino ,0.281,0.296892857,0.312785714,0.328678571
123,Los Angeles - Exposition Park ,0.299,0.310142857,0.321285714,0.332428571
124,Los Angeles - Faircrest Heights ,0.154428571,0.165321429,0.176214286,0.187107143
125,Los Angeles - Figueroa Park Square ,0.476571429,0.523607143,0.570642857,0.617678571
126,Los Angeles - Florence-Firestone ,0.405428571,0.4205,0.435571429,0.450642857
127,Los Angeles - Glassell Park ,0.288,0.296928571,0.305857143,0.314785714
128,Los Angeles - Gramercy Place ,0.241142857,0.234785714,0.228428571,0.222071429
129,Los Angeles - Granada Hills ,0.316285714,0.327535714,0.338785714,0.350035714
130,Los Angeles - Green Meadows ,0.429714286,0.45525,0.480785714,0.506321429
131,Los Angeles - Hancock Park ,0.197142857,0.197428571,0.197714286,0.198
132,Los Angeles - Harbor City ,0.096714286,0.094785714,0.092857143,0.090928571
133,Los Angeles - Harbor Gateway ,0.179285714,0.1855,0.191714286,0.197928571
134,Los Angeles - Harbor Pines ,0.272714286,0.2905,0.308285714,0.326071429
135,Los Angeles - Harvard Heights ,0.249,0.265464286,0.281928571,0.298392857
136,Los Angeles - Harvard Park ,0.361428571,0.372714286,0.384,0.395285714
137,Los Angeles - Highland Park ,0.340142857,0.360785714,0.381428571,0.402071429
138,Los Angeles - Historic Filipinotown ,0.280714286,0.293178571,0.305642857,0.318107143
139,Los Angeles - Hollywood ,0.294857143,0.313821429,0.332785714,0.35175
140,Los Angeles - Hollywood Hills ,0.259,0.260642857,0.262285714,0.263928571
141,Los Angeles - Hyde Park ,0.184714286,0.184642857,0.184571429,0.1845
142,Los Angeles - Jefferson Park ,0.341571429,0.3535,0.365428571,0.377357143
143,Los Angeles - Koreatown ,0.240714286,0.250785714,0.260857143,0.270928571
144,Los Angeles - Lafayette Square ,0.278714286,0.2905,0.302285714,0.314071429
145,Los Angeles - Lake Balboa ,0.323714286,0.331785714,0.339857143,0.347928571
146,Los Angeles - Lakeview Terrace ,0.520714286,0.525571429,0.530428571,0.535285714
147,Los Angeles - Leimert Park ,0.205571429,0.19975,0.193928571,0.188107143
148,Los Angeles - Lincoln Heights ,0.393142857,0.413785714,0.434428571,0.455071429
149,Los Angeles - Little Armenia ,0.307,0.31925,0.3315,0.34375
150,Los Angeles - Little Bangladesh ,0.177714286,0.18475,0.191785714,0.198821429
151,Los Angeles - Little Tokyo ,0.214857143,0.232,0.249142857,0.266285714
152,Los Angeles - Longwood ,0.411714286,0.422607143,0.4335,0.444392857
153,Los Angeles - Los Feliz ,0.192428571,0.200035714,0.207642857,0.21525
154,Los Angeles - Manchester Square ,0.286571429,0.301714286,0.316857143,0.332
155,Los Angeles - Mandeville Canyon ,0.100571429,0.108571429,0.116571429,0.124571429
156,Los Angeles - Mar Vista ,0.153428571,0.163214286,0.173,0.182785714
157,Los Angeles - Marina Peninsula ,0.213571429,0.222607143,0.231642857,0.240678571
159,Los Angeles - Mid-city ,0.156571429,0.166142857,0.175714286,0.185285714
160,Los Angeles - Miracle Mile ,0.187714286,0.20075,0.213785714,0.226821429
161,Los Angeles - Mission Hills ,0.506,0.476428571,0.446857143,0.417285714
163,Los Angeles - North Hills ,0.377142857,0.38475,0.392357143,0.399964286
164,Los Angeles - North Hollywood ,0.397857143,0.412285714,0.426714286,0.441142857
165,Los Angeles - Northridge ,0.256571429,0.264642857,0.272714286,0.280785714
166,Los Angeles - Pacific Palisades ,0.110857143,0.110392857,0.109928571,0.109464286
167,Los Angeles - Pacoima ,0.668,0.678964286,0.689928571,0.700892857
168,Los Angeles - Palisades Highlands ,0.211714286,0.224714286,0.237714286,0.250714286
169,Los Angeles - Palms ,0.133,0.144071429,0.155142857,0.166214286
170,Los Angeles - Panorama City ,0.450571429,0.461035714,0.4715,0.481964286
171,Los Angeles - Park La Brea ,0.150428571,0.157285714,0.164142857,0.171
172,Los Angeles - Pico-Union ,0.275714286,0.289571429,0.303428571,0.317285714
173,Los Angeles - Playa Del Rey ,0.353714286,0.390642857,0.427571429,0.4645
174,Los Angeles - Playa Vista ,0.179428571,0.18875,0.198071429,0.207392857
175,Los Angeles - Porter Ranch ,0.159428571,0.167321429,0.175214286,0.183107143
176,Los Angeles - Rancho Park ,0.225285714,0.232571429,0.239857143,0.247142857
177,Los Angeles - Regent Square ,0.092571429,0.102857143,0.113142857,0.123428571
178,Los Angeles - Reseda ,0.483142857,0.5055,0.527857143,0.550214286
179,Los Angeles - Reseda Ranch ,0.486571429,0.502785714,0.519,0.535214286
180,Los Angeles - Reynier Village ,0.061142857,0.063785714,0.066428571,0.069071429
181,Los Angeles - San Pedro* ,0.156428571,0.159892857,0.163357143,0.166821429
182,Los Angeles - Shadow Hills ,0.203,0.185464286,0.167928571,0.150392857
183,Los Angeles - Sherman Oaks ,0.201,0.206821429,0.212642857,0.218464286
184,Los Angeles - Silverlake ,0.236857143,0.247392857,0.257928571,0.268464286
185,Los Angeles - South Carthay ,0.154714286,0.162821429,0.170928571,0.179035714
186,Los Angeles - South Park ,0.293285714,0.297821429,0.302357143,0.306892857
187,Los Angeles - St Elmo Village ,0.311428571,0.347285714,0.383142857,0.419
188,Los Angeles - Studio City ,0.167428571,0.170571429,0.173714286,0.176857143
189,Los Angeles - Sun Valley ,0.55,0.561178571,0.572357143,0.583535714
190,Los Angeles - Sunland ,0.250857143,0.252892857,0.254928571,0.256964286
191,Los Angeles - Sycamore Square ,0,0,0,0
